image,image_id,tag_id,decision_margin,x,y,z
167.jpg,167,0,91.66332244873047,5.651085070717706,4.279668402391808,-2.336214821468822
168.jpg,168,0,96.54834747314453,5.739531782191908,4.279928302876442,-2.3349464518665086
169.jpg,169,0,91.07364654541016,5.836846917520671,4.2793806672926875,-2.3277605102786714
170.jpg,170,0,90.34922790527344,5.978955437891143,4.279049439172626,-2.3236477055778297
171.jpg,171,0,92.77954864501953,6.114748558515463,4.280365577189281,-2.3212626358264967
172.jpg,172,0,84.01363372802734,6.243414384400232,4.2975488011589915,-2.344905856414867
230.jpg,230,0,92.33404541015625,6.255485809763796,4.015492113164056,-2.3226201084873304
231.jpg,231,0,87.03330993652344,6.128938412924415,4.013228384028343,-2.3193270101276298
232.jpg,232,0,98.28489685058594,6.009168858602724,4.010168530195336,-2.3247262109771065
233.jpg,233,0,86.57512664794922,5.889741660636979,4.014038571312739,-2.332889022051113
234.jpg,234,0,91.70393371582031,5.79359796274865,4.031050840024067,-2.336542516606932
235.jpg,235,0,97.40763854980469,5.680724370205022,4.086572539303463,-2.3298759652983967
274.jpg,274,0,95.52474212646484,5.5940528059148455,3.6690693690054106,-2.341961497340514
276.jpg,276,0,87.94769287109375,5.785983103776255,3.627119854120267,-2.3815881571223194
278.jpg,278,0,97.0615234375,6.063577918254191,3.6408298071133607,-2.340284924507448
