#timestamp x y z qx qy qz qw id
17.693000 0.008779 -0.004357 0.479085 -0.707027 0.707186 -0.000393 0.000827 1
18.856000 0.150010 0.003143 0.540495 0.707131 -0.707072 0.003192 -0.002198 2
19.872000 0.282107 -0.001848 0.506153 -0.707017 0.707191 -0.001984 0.001908 3
20.974000 0.448083 0.000681 0.498291 0.707198 -0.707013 0.001728 -0.001237 4
22.011000 0.630722 -0.002253 0.487156 -0.707082 0.707128 -0.001589 0.001629 5
23.087000 0.827511 -0.001380 0.479252 -0.707040 0.707165 -0.002570 0.002359 6
24.233000 1.082407 0.000692 0.474839 0.707240 -0.706969 0.001897 -0.001398 7
25.250000 1.312366 0.000756 0.470196 -0.706873 0.707335 -0.002187 0.001696 8
26.283000 1.538302 -0.003824 0.465104 -0.706876 0.707326 -0.002818 0.003042 9
27.431000 1.833709 -0.004675 0.463683 -0.706977 0.707227 -0.002371 0.002763 10
28.475000 2.112728 0.000452 0.463663 -0.707037 0.707170 -0.002308 0.001801 11
29.580000 2.413965 0.000244 0.464574 -0.707035 0.707170 -0.002700 0.002289 12
30.662000 2.724530 0.000721 0.465313 -0.706988 0.707212 -0.003415 0.002834 13
31.712000 3.025388 0.000595 0.467300 -0.706995 0.707209 -0.002876 0.002364 14
32.792000 3.337987 0.001091 0.469796 -0.707082 0.707119 -0.003324 0.002750 15
33.884000 3.673128 0.002912 0.469697 -0.707005 0.707201 -0.002781 0.001779 16
34.968000 4.004098 -0.001202 0.473285 -0.706895 0.707305 -0.003218 0.002937 17
36.088000 4.351723 0.002805 0.472301 -0.706841 0.707361 -0.003398 0.002276 18
37.139000 4.663175 -0.000137 0.474677 -0.706795 0.707407 -0.003185 0.002596 19
38.187000 4.973603 -0.000426 0.476922 -0.706818 0.707388 -0.002595 0.001986 20
39.242000 5.277596 -0.002685 0.478783 -0.706671 0.707530 -0.003076 0.002779 21
40.301000 5.566675 -0.000068 0.481657 -0.706797 0.707405 -0.003251 0.002491 22
41.332000 5.855472 -0.002224 0.482483 -0.706621 0.707583 -0.002829 0.002364 23
42.343000 6.120792 -0.001781 0.484655 -0.706567 0.707634 -0.003280 0.002683 24
43.462000 6.390236 -0.002251 0.486289 -0.706657 0.707543 -0.003287 0.002724 25
44.603000 6.626278 -0.003052 0.489237 -0.706770 0.707430 -0.003249 0.002865 26
45.663000 6.847624 -0.002708 0.489981 0.707132 -0.707064 0.003706 -0.003309 27
46.745000 7.108220 -0.000030 0.490295 0.707157 -0.707044 0.003318 -0.002569 28
47.801000 7.293808 0.002130 0.492001 -0.707093 0.707111 -0.003171 0.002035 29
48.845000 7.459775 -0.001247 0.492680 0.707137 -0.707065 0.003202 -0.002639 30
49.858000 7.592791 0.000172 0.493714 0.707170 -0.707028 0.003627 -0.002907 31
50.899000 7.702021 -0.000978 0.495335 0.707163 -0.707031 0.004032 -0.003406 32
52.051000 7.806365 -0.001130 0.495248 0.707182 -0.707016 0.003611 -0.003042 33
62.492000 7.890679 0.106210 0.495909 0.707174 -0.707029 0.003238 -0.001942 43
66.682000 7.887233 0.223386 0.495556 0.707212 -0.706990 0.003338 -0.002316 47
69.854000 7.887732 0.329163 0.495805 -0.705618 0.708581 -0.003202 0.002407 50
73.061000 7.892823 0.446159 0.495019 -0.704426 0.709769 -0.002862 0.002053 53
76.270000 7.895049 0.567764 0.494837 -0.703785 0.710404 -0.002987 0.001693 56
79.659000 7.893695 0.690607 0.494458 -0.703960 0.710230 -0.003239 0.001857 59
82.838000 7.898839 0.793135 0.494219 -0.704507 0.709690 -0.002639 0.001720 62
87.302000 7.900173 0.913829 0.493780 -0.705702 0.708502 -0.002611 0.001612 66
98.052000 7.715973 0.998977 0.493475 -0.706746 0.707454 -0.003405 0.002566 76
99.069000 7.606588 1.004333 0.490711 0.707247 -0.706954 0.003699 -0.002109 77
100.190000 7.456156 1.002166 0.490255 0.707372 -0.706830 0.003388 -0.002263 78
101.191000 7.296443 1.000890 0.489965 0.707185 -0.707017 0.003274 -0.002526 79
102.273000 7.104653 1.004650 0.488431 0.707160 -0.707047 0.002777 -0.001231 80
103.407000 6.883334 1.001865 0.487668 0.707158 -0.707047 0.002878 -0.002026 81
104.593000 6.619298 1.003637 0.486196 -0.707097 0.707103 -0.003674 0.002330 82
105.684000 6.369026 1.001398 0.485484 -0.707051 0.707156 -0.002582 0.001723 83
106.773000 6.093603 1.001198 0.484790 -0.706983 0.707222 -0.002833 0.002085 84
107.881000 5.806119 1.003645 0.482460 -0.706928 0.707277 -0.002914 0.001753 85
109.003000 5.495224 1.003228 0.481075 -0.706943 0.707262 -0.002982 0.001930 86
110.130000 5.180651 1.004627 0.479306 -0.706811 0.707395 -0.002773 0.001472 87
111.231000 4.859785 1.005550 0.477248 -0.706802 0.707405 -0.002641 0.001195 88
112.369000 4.522617 1.003430 0.476419 -0.706748 0.707458 -0.002753 0.001720 89
113.519000 4.178463 1.005286 0.474308 -0.706682 0.707523 -0.003043 0.001801 90
114.594000 3.854649 1.005692 0.471932 -0.706698 0.707505 -0.003182 0.001896 91
115.779000 3.497637 1.004045 0.471383 -0.706942 0.707263 -0.002946 0.001850 92
116.869000 3.168912 1.002822 0.469178 0.707119 -0.707092 0.001828 -0.000874 93
117.940000 2.849053 1.000619 0.467128 0.707403 -0.706804 0.002316 -0.001739 94
119.059000 2.524447 1.001853 0.464291 0.707499 -0.706708 0.002483 -0.001561 95
120.118000 2.229632 1.000457 0.460936 0.707548 -0.706655 0.003242 -0.002215 96
121.221000 1.934960 0.994702 0.458505 0.707527 -0.706681 0.001968 -0.001908 97
122.355000 1.644475 0.998659 0.456767 0.707341 -0.706872 0.001008 -0.000205 98
123.474000 1.372081 0.987249 0.460204 0.707498 -0.706713 0.000581 -0.001759 99
124.559000 1.120091 0.993386 0.454540 0.707504 -0.706708 0.000996 -0.000749 100
125.614000 0.886219 0.982193 0.454486 0.707517 -0.706690 0.001028 -0.002790 101
126.636000 0.685533 0.989019 0.449356 0.707387 -0.706823 0.001437 -0.001823 102
127.686000 0.499438 0.987922 0.449112 0.707653 -0.706556 0.001298 -0.002122 103
128.848000 0.315634 0.987622 0.447954 0.707341 -0.706869 0.000827 -0.001939 104
129.944000 0.168811 0.988842 0.446391 -0.706756 0.707454 -0.000777 0.002012 105
130.958000 0.059510 0.987143 0.446147 -0.706582 0.707628 -0.000570 0.001999 106
133.017000 -0.080814 0.985999 0.445285 -0.706665 0.707546 -0.000459 0.001938 108
142.559000 -0.113121 1.092347 0.445199 -0.706359 0.707847 -0.001432 0.002646 117
146.710000 -0.111653 1.208410 0.445307 -0.706391 0.707816 -0.001487 0.002394 121
149.904000 -0.108593 1.318217 0.445986 -0.706287 0.707921 -0.001422 0.001877 124
153.066000 -0.113696 1.432218 0.445456 -0.706357 0.707850 -0.001696 0.002527 127
156.260000 -0.111024 1.552743 0.445492 -0.706268 0.707940 -0.001499 0.002194 130
159.421000 -0.113805 1.666872 0.444686 -0.706272 0.707934 -0.001937 0.002394 133
162.629000 -0.123398 1.779240 0.443823 -0.706234 0.707964 -0.003355 0.002910 136
166.896000 -0.115344 1.890673 0.445736 -0.706136 0.708069 -0.001972 0.002576 140
177.716000 0.027007 1.988738 0.444760 -0.706064 0.708142 -0.002266 0.001866 150
178.880000 0.156836 1.984875 0.447702 -0.705754 0.708456 -0.000682 0.001106 151
179.901000 0.282634 1.986254 0.448384 -0.705755 0.708454 -0.001076 0.001480 152
180.981000 0.445346 1.982817 0.450388 -0.705920 0.708289 -0.000857 0.001713 153
181.987000 0.625624 1.979752 0.450393 -0.706458 0.707754 -0.000021 0.001278 154
183.123000 0.843891 1.981475 0.451577 -0.706404 0.707807 -0.000331 0.001301 155
184.249000 1.079978 1.979667 0.454836 -0.706395 0.707814 -0.000933 0.002225 156
185.265000 1.314566 1.982383 0.454147 -0.706441 0.707771 -0.000634 0.001242 157
186.356000 1.572929 1.976769 0.455057 -0.706487 0.707720 -0.001056 0.002615 158
187.525000 1.877157 1.981217 0.456622 -0.706489 0.707721 -0.001096 0.001721 159
188.627000 2.176136 1.985913 0.456306 -0.706616 0.707597 -0.000512 0.000294 160
189.702000 2.467820 1.980655 0.461599 -0.706534 0.707676 -0.000782 0.001585 161
190.799000 2.787462 1.984478 0.460640 -0.706579 0.707634 -0.000326 0.000520 162
191.843000 3.092217 1.989366 0.462651 -0.706645 0.707565 -0.001896 0.001274 163
192.918000 3.407198 1.986257 0.466029 -0.706620 0.707590 -0.001523 0.001501 164
194.052000 3.746368 1.985660 0.468020 -0.706583 0.707622 -0.002344 0.002492 165
195.175000 4.089124 1.986164 0.470360 -0.706365 0.707845 -0.001292 0.001475 166
196.236000 4.408239 1.992963 0.470791 -0.706099 0.708108 -0.002484 0.001400 167
197.270000 4.718417 1.988447 0.475117 -0.705937 0.708271 -0.001673 0.001445 168
198.386000 5.055656 1.989792 0.478631 -0.705806 0.708405 -0.000187 -0.000287 169
199.487000 5.360533 1.988519 0.475949 -0.705854 0.708356 -0.001364 0.000852 170
200.620000 5.676939 1.985616 0.477517 -0.705891 0.708318 -0.001393 0.001166 171
201.731000 5.972381 1.988771 0.477771 -0.705851 0.708356 -0.002223 0.001231 172
202.780000 6.238273 1.981730 0.481802 -0.705940 0.708267 -0.001717 0.001876 173
203.818000 6.496919 1.981888 0.482827 -0.705987 0.708223 -0.001100 0.001100 174
204.841000 6.724040 1.987280 0.481853 -0.706027 0.708177 -0.002904 0.001680 175
205.937000 6.960295 1.978309 0.485300 -0.706039 0.708168 -0.001680 0.002133 176
206.955000 7.154861 1.981110 0.483701 -0.706117 0.708089 -0.002218 0.002067 177
208.034000 7.336864 1.976216 0.486098 -0.706086 0.708117 -0.002311 0.002662 178
209.091000 7.499078 1.983393 0.483701 -0.706218 0.707985 -0.003002 0.002185 179
210.160000 7.628235 1.980539 0.486238 0.707360 -0.706838 0.004024 -0.002400 180
211.237000 7.742628 1.976676 0.487137 0.707379 -0.706823 0.003764 -0.001796 181
213.282000 7.876427 1.975821 0.488141 -0.706862 0.707342 -0.003483 0.001216 183
