#timestamp x y z qx qy qz qw id
17.813000 0.078903 -0.005268 0.312876 0.707124 -0.707088 0.000574 -0.001276 1
18.826000 0.288736 -0.000555 0.224958 0.707284 -0.706902 0.004497 -0.004322 2
19.914000 0.525021 -0.002052 0.204039 0.707173 -0.707027 0.003014 -0.003192 3
20.937000 0.780372 0.002059 0.197168 0.707194 -0.707001 0.003869 -0.003347 4
22.047000 1.111022 -0.002012 0.190878 0.707115 -0.707078 0.003678 -0.003919 5
23.221000 1.492105 -0.002075 0.188907 0.707145 -0.707054 0.003073 -0.003206 6
24.438000 1.883565 0.000600 0.183169 -0.707048 0.707136 -0.004686 0.004433 7
25.440000 2.250782 0.000510 0.185616 0.707231 -0.706950 0.004834 -0.004671 8
26.529000 2.680657 0.001511 0.184480 0.707494 -0.706700 0.003845 -0.003660 9
27.550000 3.049798 -0.003653 0.191054 0.707288 -0.706879 0.005388 -0.006085 10
28.668000 3.490082 -0.001158 0.195256 0.707375 -0.706809 0.004422 -0.004712 11
29.762000 3.922210 0.000676 0.198852 0.707390 -0.706782 0.005416 -0.005422 12
30.872000 4.401134 -0.000736 0.202710 0.707227 -0.706962 0.004037 -0.004339 13
32.067000 4.855803 -0.002043 0.209187 0.707163 -0.707017 0.004618 -0.005137 14
33.154000 5.251208 0.000843 0.216123 0.707371 -0.706786 0.006312 -0.006338 15
34.303000 5.664336 0.002439 0.222599 0.707378 -0.706786 0.006003 -0.005813 16
35.324000 6.025990 0.000893 0.228184 0.707343 -0.706817 0.006122 -0.006238 17
36.329000 6.357846 0.002266 0.233289 0.707332 -0.706826 0.006318 -0.006241 18
37.456000 6.685803 0.002886 0.238836 0.707366 -0.706775 0.007210 -0.007102 19
38.477000 6.959609 0.001648 0.242341 0.707554 -0.706595 0.006658 -0.006872 20
39.518000 7.220852 0.003936 0.245292 0.707609 -0.706539 0.006889 -0.006719 21
40.581000 7.396297 0.004193 0.250389 0.707519 -0.706614 0.007614 -0.007457 22
41.734000 7.581169 0.000842 0.251093 0.707251 -0.706884 0.007279 -0.007648 23
42.867000 7.703203 0.002016 0.253575 -0.707063 0.707066 -0.007702 0.007757 24
44.954000 7.810535 0.003907 0.253878 -0.707069 0.707102 -0.005827 0.005191 26
50.504000 7.780767 0.109571 0.253902 -0.706943 0.707225 -0.005862 0.005531 31
53.654000 7.785326 0.233202 0.254446 -0.707059 0.707107 -0.006077 0.005486 34
56.890000 7.750808 0.381508 0.257685 0.707329 -0.706818 0.007268 -0.006375 37
58.932000 7.750095 0.483252 0.257892 0.707326 -0.706820 0.007301 -0.006472 39
61.126000 7.748371 0.589335 0.258236 0.707298 -0.706845 0.007243 -0.006837 41
63.252000 7.750878 0.691249 0.258121 0.707314 -0.706834 0.006943 -0.006647 43
66.464000 7.752642 0.831257 0.257507 0.707322 -0.706829 0.006991 -0.006230 46
69.675000 7.748164 0.933602 0.258068 0.707245 -0.706898 0.007133 -0.006945 49
77.195000 7.552683 1.000490 0.253413 0.707278 -0.706836 0.008634 -0.008137 56
78.281000 7.377110 1.000609 0.250188 0.707288 -0.706816 0.009071 -0.008491 57
79.357000 7.166306 0.999787 0.246204 0.707264 -0.706866 0.007972 -0.007400 58
80.431000 6.909657 0.999022 0.241181 0.707281 -0.706852 0.007717 -0.007281 59
81.496000 6.621258 1.000822 0.234116 0.707291 -0.706826 0.008598 -0.007882 60
82.533000 6.308590 0.998333 0.229537 0.707085 -0.707048 0.007684 -0.007432 61
83.598000 5.964321 0.999630 0.222889 -0.707040 0.707084 -0.008245 0.007727 62
84.726000 5.567388 1.000210 0.215697 0.707130 -0.707007 0.007604 -0.007068 63
85.744000 5.193925 1.001318 0.210371 -0.707075 0.707077 -0.006967 0.006239 64
86.836000 4.780825 1.003999 0.202414 0.707112 -0.707043 0.006967 -0.005809 65
87.937000 4.352492 1.001320 0.196631 0.707158 -0.707002 0.006478 -0.005860 66
89.067000 3.905323 0.999790 0.188574 0.707244 -0.706917 0.006238 -0.005926 67
90.194000 3.456036 1.001516 0.182083 0.707462 -0.706693 0.006712 -0.006079 68
91.283000 3.022679 0.996419 0.175875 0.707652 -0.706500 0.006458 -0.006614 69
92.362000 2.603387 0.996986 0.168570 0.707550 -0.706617 0.005746 -0.005724 70
93.368000 2.226682 1.000134 0.160304 0.707536 -0.706636 0.005848 -0.005054 71
94.415000 1.851712 0.994673 0.155811 0.707399 -0.706776 0.005163 -0.005288 72
95.463000 1.497636 0.995993 0.152240 0.707391 -0.706807 0.003403 -0.003167 73
96.574000 1.138868 0.993851 0.147519 0.707342 -0.706840 0.004609 -0.004731 74
97.657000 0.826523 0.992295 0.143432 0.707443 -0.706748 0.003779 -0.004142 75
98.771000 0.534515 0.991418 0.139121 0.707310 -0.706880 0.003812 -0.004282 76
99.862000 0.291119 0.990851 0.135743 0.707352 -0.706841 0.003556 -0.004067 77
100.875000 0.101913 0.991714 0.132391 0.707325 -0.706865 0.003808 -0.004227 78
101.973000 -0.049477 0.990314 0.131122 0.707413 -0.706784 0.003072 -0.003699 79
103.016000 -0.150418 0.991830 0.128542 0.707360 -0.706836 0.003367 -0.003743 80
