image,image_id,tag_id,decision_margin,x,y,z
172.jpg,172,0,95.28641510009766,5.555836413355805,4.244292198616902,-2.063791529288415
173.jpg,173,0,96.61322784423828,5.640570596543792,4.243764569413028,-2.0637449225577367
174.jpg,174,0,88.55511474609375,5.737515853683822,4.266210076781747,-2.0989004829197015
175.jpg,175,0,89.92909240722656,5.854915183892126,4.241412465917169,-2.0471615535101297
176.jpg,176,0,92.77050018310547,5.970451102564037,4.243921234318566,-2.051443476855466
177.jpg,177,0,93.4537353515625,6.107116590140925,4.248620700125431,-2.0624028133091263
238.jpg,238,0,95.1174087524414,6.0701361527381135,3.968767092526357,-2.070321264018831
239.jpg,239,0,94.93040466308594,5.950565402684435,3.964291871080915,-2.071086312054432
240.jpg,240,0,88.97206115722656,5.831681352877038,3.9685098469734332,-2.090251722310289
241.jpg,241,0,89.51016998291016,5.730558805504633,3.9696560111579675,-2.0697495305801983
242.jpg,242,0,88.27561950683594,5.6443077511766475,3.974610417183821,-2.0788412908460976
243.jpg,243,0,95.20814514160156,5.550429846404636,3.9798995454272093,-2.0780125027490195
284.jpg,284,0,86.89269256591797,5.599558335227284,3.6721400977166443,-2.0866987943581714
285.jpg,285,0,93.67654418945312,5.695738101504853,3.667479515954473,-2.0841876905663055
286.jpg,286,0,91.59869384765625,5.797911345368815,3.667685424364952,-2.0763234972899434
287.jpg,287,0,92.80414581298828,5.902238904772843,3.6663011036457873,-2.0740878324486305
288.jpg,288,0,98.90658569335938,6.022127467720577,3.665966079711637,-2.0702198557062714
289.jpg,289,0,90.61466217041016,6.1588349359661905,3.6670788867646404,-2.0729301228659134
