image,image_id,tag_id,decision_margin,x,y,z
229.jpg,229,0,88.80956268310547,5.5911207868429225,4.280533744482896,-2.534279417912663
230.jpg,230,0,89.15782165527344,5.6586551124409326,4.293606507432111,-2.550535732351616
231.jpg,231,0,90.65511322021484,5.7432937830997535,4.287075456389564,-2.5413808763774415
232.jpg,232,0,96.23527526855469,5.811002469107635,4.283866723655487,-2.530535657017782
233.jpg,233,0,93.78215789794922,5.882927146665609,4.284627562585104,-2.535738623004889
236.jpg,236,0,96.6175308227539,6.146504774806608,4.287976677757814,-2.5340900829481545
318.jpg,318,0,97.76598358154297,6.138317117646944,3.993360802732699,-2.5169546118455273
319.jpg,319,0,97.60560607910156,6.048930418105803,3.992595684538163,-2.511550658929207
320.jpg,320,0,96.75016021728516,5.960108500490107,3.992774229398136,-2.5240654718244544
321.jpg,321,0,97.0793685913086,5.869171719286035,3.991853144953025,-2.52135112911832
322.jpg,322,0,90.87702941894531,5.781862825434654,3.989134627604377,-2.5345803542432104
324.jpg,324,0,96.3463363647461,5.622338622179543,3.988912599515198,-2.524332723862251
325.jpg,325,0,90.37701416015625,5.552178864722482,3.989134531296619,-2.521960052330845
379.jpg,379,0,97.31978607177734,5.655015676752001,3.6995349733332916,-2.5319231683766796
380.jpg,380,0,89.50645446777344,5.725750716613039,3.7033851884399724,-2.5253015002302983
381.jpg,381,0,88.26246643066406,5.806093277819225,3.6716927505831727,-2.582438815460283
382.jpg,382,0,88.47835540771484,5.899117897975567,3.672652594671254,-2.580049512721106
384.jpg,384,0,98.30474853515625,6.078668169775941,3.6983959319060915,-2.526304633432912
385.jpg,385,0,98.49161529541016,6.174090174013818,3.696077146347065,-2.520622926405938
