#timestamp x y z qx qy qz qw id
17.782000 0.037445 0.000652 -0.008889 -0.707093 0.707120 -0.001008 0.000786 1
18.976000 0.174118 0.000661 -0.110799 -0.707076 0.707127 -0.002758 0.002659 2
20.042000 0.308390 -0.001799 -0.123800 -0.707051 0.707156 -0.001997 0.002318 3
21.053000 0.462606 0.001648 -0.133309 -0.707050 0.707155 -0.002640 0.002348 4
22.167000 0.659712 0.001069 -0.142764 0.707107 -0.707097 0.002728 -0.002523 5
23.256000 0.866224 -0.001417 -0.148499 -0.707063 0.707139 -0.002776 0.003002 6
24.267000 1.079788 -0.000140 -0.152888 -0.706982 0.707218 -0.003020 0.003039 7
25.382000 1.350081 0.002385 -0.156506 0.707317 -0.706890 0.002349 -0.002030 8
26.459000 1.595386 0.000476 -0.157360 -0.707023 0.707176 -0.003170 0.003101 9
27.541000 1.897186 -0.001048 -0.159918 -0.707033 0.707173 -0.002205 0.002404 10
28.663000 2.175046 -0.002210 -0.158773 -0.706934 0.707263 -0.003156 0.003507 11
29.715000 2.475962 -0.002458 -0.158895 0.707222 -0.706986 0.001783 -0.002369 12
30.730000 2.805222 -0.002355 -0.161479 -0.706864 0.707345 -0.001666 0.002013 13
31.867000 3.067862 -0.003102 -0.155371 0.707221 -0.706977 0.003007 -0.003664 14
32.888000 3.359992 -0.002229 -0.152382 0.707222 -0.706976 0.003030 -0.003539 15
33.952000 3.680972 -0.002485 -0.151274 0.707250 -0.706949 0.002932 -0.003537 16
35.008000 3.992284 -0.002091 -0.148181 0.707202 -0.706999 0.002657 -0.003156 17
36.058000 4.307732 -0.002572 -0.148000 0.707195 -0.706999 0.003344 -0.004062 18
37.151000 4.648847 -0.001771 -0.144852 0.707184 -0.707016 0.002805 -0.003330 19
38.375000 5.033314 -0.010000 -0.142151 -0.706482 0.707723 -0.001281 0.003119 20
39.431000 5.349854 -0.007291 -0.140303 -0.706923 0.707282 -0.001633 0.003059 21
40.431000 5.631834 -0.008025 -0.138809 -0.706900 0.707301 -0.002107 0.003657 22
41.457000 5.913879 -0.008223 -0.137102 -0.706859 0.707341 -0.002205 0.003808 23
42.509000 6.190906 -0.010719 -0.136201 -0.706966 0.707240 -0.001107 0.003069 24
43.543000 6.445666 -0.009412 -0.134215 -0.706867 0.707337 -0.001618 0.003363 25
44.638000 6.705734 -0.010136 -0.132499 -0.706823 0.707379 -0.001837 0.003606 26
45.747000 6.942627 -0.012049 -0.130173 -0.706829 0.707368 -0.002164 0.004256 27
46.831000 7.154080 -0.012614 -0.130053 -0.706777 0.707426 -0.001459 0.003623 28
47.918000 7.332904 -0.011942 -0.129601 -0.706656 0.707548 -0.001432 0.003387 29
49.015000 7.488453 -0.011673 -0.127942 -0.704893 0.709301 -0.002208 0.003666 30
50.046000 7.648591 -0.012592 -0.128963 -0.702913 0.711267 -0.001808 0.002980 31
52.121000 7.831178 -0.018569 -0.125971 -0.700731 0.713412 -0.002568 0.003524 33
58.498000 7.936536 0.010030 -0.128668 -0.699305 0.714821 -0.001237 0.001227 39
63.805000 7.908513 0.119305 -0.125107 -0.698186 0.715909 -0.002366 0.001940 44
68.117000 7.937177 0.252981 -0.125474 -0.697843 0.716245 -0.002208 0.001689 48
71.190000 7.929229 0.357453 -0.124995 -0.697280 0.716793 -0.002094 0.001900 51
74.465000 7.888796 0.482441 -0.120386 -0.697825 0.716251 -0.004062 0.003079 54
77.658000 7.890977 0.598485 -0.121443 -0.698096 0.715987 -0.003881 0.003095 57
80.869000 7.895117 0.711149 -0.121608 -0.698634 0.715463 -0.003788 0.003056 60
85.056000 7.900980 0.838818 -0.122239 -0.699778 0.714346 -0.003518 0.002994 64
90.230000 7.903734 0.946455 -0.122121 -0.700959 0.713187 -0.003355 0.003197 69
97.765000 7.753533 0.977865 -0.122939 -0.702320 0.711841 -0.003474 0.004043 76
98.788000 7.647857 0.981551 -0.124524 -0.703693 0.710478 -0.003981 0.004551 77
99.938000 7.499136 0.983274 -0.125699 -0.704549 0.709630 -0.003836 0.004672 78
100.968000 7.344863 0.982906 -0.127213 -0.705276 0.708914 -0.002869 0.004303 79
101.998000 7.170439 0.983023 -0.128889 -0.705249 0.708936 -0.003188 0.004803 80
103.112000 6.959057 0.984886 -0.131033 -0.705287 0.708901 -0.002990 0.004494 81
104.259000 6.703434 0.987074 -0.136509 -0.705087 0.709092 -0.003803 0.005150 82
105.339000 6.466901 0.994925 -0.138435 -0.704338 0.709838 -0.004043 0.004633 83
